title,type,genres,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,show_id,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Henry Danger,tv,"Action, Comedy, Family",tt3596174,6.1,8113,"AD, AE, AG, AO, AR, AT, AU, BB, BE, BH, BM, BO, BR, BS, BZ, CA, CH, CI, CL, CM, CO, CR, CV, DE, DO, DZ, EC, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GT, HK, HN, ID, IE, IQ, IT, JM, JO, KE, KW, LB, LC, LU, LY, MA, MC, MG, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, SA, SC, SG, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",s1405,,"Jace Norman, Cooper Barnes, Riele Downs, Sean Ryan Fox, Ella Anderson, Michael D. Cohen",United States,"January 15, 2021",2016,TV-G,3 Seasons,"Kids' TV, TV Comedies","A new part-time job forces Henry Hart to balance two lives, one as a typical teenager and the other as secret superhero sidekick Kid Danger."
"Nicky, Ricky, Dicky & Dawn",tv,"Comedy, Family",tt3596176,5.5,3699,"CA, IT, SM, US",s1082,,"Brian Stepanek, Allison Munn, Aidan Gallagher, Casey Simpson, Mace Coronel, Lizzy Greene",United States,"April 12, 2021",2018,TV-G,4 Seasons,"Kids' TV, TV Comedies","Just because they're quadruplets, that doesn't mean these 10-year-olds always get along. But for all the bickering, they're loyal to the last."
Good Witch,tv,"Comedy, Drama, Fantasy",tt3906732,7.3,12936,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW",s2601,,"Catherine Bell, Bailee Madison, Rhys Matthew Bond, James Denton, Catherine Disher, Anthony Lemke, Peter MacNeill, Hannah Endicott-Douglas, Noah Cappe, Kylee Evans","United States, Canada","April 30, 2020",2019,TV-PG,5 Seasons,"TV Dramas, TV Sci-Fi & Fantasy","Raising her daughter in a small town, an enchanting widow with magical powers provokes the interest and exasperation of a skeptical big-city doctor."
When Calls the Heart,tv,"Drama, History, Romance",tt2874692,7.9,15435,"AT, BM, CH, DE, GB, GG, GI, IE, IN, LI, LU, TC",s8727,,"Erin Krakow, Daniel Lissing, Lori Loughlin, Martin Cummins, Chelah Horsdal, Gracyn Shinyei, Jack Wagner, Mitchell Kummen, Loretta Walsh, Erica Carroll, Darius Zaviceanu, Charlotte Hegele, Steve Bacic, Adrian Hough",United States,"December 29, 2018",2017,TV-PG,5 Seasons,TV Dramas,"Leaving behind her upper-crust city roots, a woman journeys west in the early 1900s to become a teacher in a small Canadian mining community."
The Adventures of Puss in Boots,tv,"Action, Adventure, Animation",tt3807034,6.5,2585,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, DE, DK, DO, DZ, EC, EE, EG, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, ID, IE, IL, IN, IQ, IS, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PY, QA, RS, SA, SC, SE, SG, SI, SK, SN, SV, TN, TR, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW",s5064,,"Eric Bauza, Jayma Mays, Grey DeLisle, Paul Rugg, Joshua Rush, Candi Milo, Laraine Newman",United States,"January 26, 2018",2018,TV-Y7,6 Seasons,"Kids' TV, TV Comedies","The world's greatest feline fighter, lover and milk connoisseur takes on daring adventures in exotic locations in this family-friendly comedy series."
Bloodline,tv,"Drama, Thriller",tt3520702,7.8,60295,"AD, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JM, JP, KE, KR, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, PA, PE, PF, PH, PK, PL, PT, PY, RO, RS, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TT, TW, TZ, UA, UG, US, UY, VE, ZA, ZM, ZW",s5471,,"Kyle Chandler, Ben Mendelsohn, Sissy Spacek, Linda Cardellini, Norbert Leo Butz, Jacinda Barrett, Jamie McShane, John Leguizamo, Enrique Murciano, Sam Shepard, Chloë Sevigny, Andrea Riseborough, Beau Bridges, Taylor Rouviere, Owen Teague, Brandon Larracuente",United States,"May 26, 2017",2017,TV-MA,3 Seasons,"TV Dramas, TV Mysteries, TV Thrillers","When the black sheep son of a respected family threatens to expose dark secrets from their past, sibling loyalties are put to the test."
The Seven Deadly Sins,tv,"Action, Adventure, Animation",tt3909224,7.7,39859,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",s632,,"Yuki Kaji, Sora Amamiya, Misaki Kuno, Aoi Yuki, Tatsuhisa Suzuki, Jun Fukuyama, Mamoru Miyano, Maaya Sakamoto",Japan,"June 28, 2021",2021,TV-14,5 Seasons,"Anime Series, International TV Shows","When a kingdom is taken over by tyrants, the deposed princess begins a quest to find a disbanded group of evil knights to help take back her realm."
Rabbids Invasion,tv,"Animation, Comedy, Family",tt3105674,5.4,2279,"AE, AL, AO, AT, AU, AZ, BA, BB, BG, BH, BS, BY, CA, CI, CM, CU, CV, CY, DE, DK, DO, DZ, EE, EG, ES, FI, FJ, FR, GF, GH, GQ, IN, IQ, IS, JM, JO, KE, KW, LB, LC, LI, LT, LV, LY, MA, MC, ME, MG, MK, ML, MZ, NE, NG, NO, NZ, OM, PF, PH, PK, PL, PS, PT, QA, RS, SA, SC, SE, SG, SI, SK, SN, TN, TR, TT, TZ, UG, US, YE, ZA, ZM, ZW",s3696,,"Damien Laquet, David Gasman, Barbara Scaff",France,"July 1, 2019",2018,TV-Y7,1 Season,"Kids' TV, TV Comedies","Giant, rambunctious rabbits have invaded and are wreaking havoc on the world. But we'll have to get used to them, because they're not going anywhere!"
Spotless,tv,"Crime, Drama",tt3834000,7.7,4101,US,s5753,,"Marc-André Grondin, Denis Ménochet, Miranda Raison, Doug Allen, Liam Garrigan, Ciarán Owens, Kate Magowan, Tanya Fear, Naomi Radcliffe, Lucy Akhurst, Jemma Donovan, Niall Hayes, Brendan Coyle","United Kingdom, France","October 15, 2016",2015,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",The law-abiding owner of a crime scene cleaning service is forced into business with a powerful mob boss thanks to his irresponsible older brother.
Grace and Frankie,tv,Comedy,tt3609352,8.2,58327,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",s275,,"Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn",United States,"August 13, 2021",2021,TV-MA,7 Seasons,"TV Comedies, TV Dramas","They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series."
Chef's Table,tv,"Biography, Documentary",tt4295140,8.5,17272,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",s4085,,,United States,"February 22, 2019",2019,TV-MA,6 Seasons,"Docuseries, Reality TV","In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food."
The Next Step,tv,"Drama, Family, Romance",tt2374744,6.3,2373,"AU, NZ",s2179,,"Shamier Anderson, Victoria Baldesarra, Alexandra Beaton, Jordan Clark, Brennan Clost, Samantha Grecchi, Lamar Johnson, Isaac Lupien, Trevor Tordjman, Brittany Raymond, Bree Wasylenko, Jennifer Pappas, Tamina Pollack-Paris, Logan Fabbro, Megan Mackenzie, Alex Beaton, Natalie Krill",Canada,"August 1, 2020",2018,TV-G,1 Season,"Kids' TV, Reality TV, TV Dramas",This drama series follows young dancers at the Next Step Dance Studio as they attempt to win the coveted regional dance championships.
Tiny House Nation,tv,Reality-TV,tt3869500,7.1,1344,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",s3014,,,United States,"January 17, 2020",2019,TV-PG,2 Seasons,Reality TV,"Traveling the U.S., host John Weisbarth and expert Zack Giffin are helping families prep for the tiny lifestyle and create hypercustomized mini homes."
Between,tv,"Drama, Mystery, Sci-Fi",tt4132692,5.9,10120,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GT, HK, HN, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",s511,,"Jennette McCurdy, Jesse Carere, Ryan Allen, Justin Kelly, Kyle Mac, Jack Murray, Brooke Palsson, Jim Watson, Wesley Morgan, Krystal Hope Nausbaum, Shailene Garnett, Canute Gomes, Sarah Podemski, Shailyn Pierre-Dixon, Jesse Bostick, Steven Grayhm, Percy Hynes White, Mercedes Morris, Samantha Munro",Canada,"July 6, 2021",2016,TV-14,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them."
ThirTEEN Terrors,tv,"Horror, Mystery, Thriller",tt5040974,6.8,350,TH,s8575,,"Thanapatpisal Sananthachat, Panisara Montharat, Sutatta Udomsilp, Teetatch Ratanasritai, Fame Chawin Likitjareonpong, Paladesh Kemisara, Thiti Mahayotaruk, Napat Chokejindachai, Um Apasiri Nitibhon, Skye Nateeton Wongrawee, Narikun Ketprapakorn, Sirinya Tantipongwatana, Chutavuth Pattarakampol, Thanyanan Pipatchaisiri, Sirachuch Chienthaworn, Jirayus Khawbaimai, Gunn Junhavat, Pavadee Komchokpaisan, Nichaphat Chatchaipholrat, Natthida Trichaiya, Kanyawee Songmuang, Claudine Craig, Sarit Trilertvichien, Teeradon Supapunpinyo, Narupornkamol Chaisang, Atthaphan Poonsawas, Oabnithi Wiwattanawarang",Thailand,"March 1, 2019",2014,TV-14,1 Season,"International TV Shows, TV Horror, TV Mysteries",A group of teens searches for the dark truth behind their school's mysterious and brutal history.
Heidi,tv,"Adventure, Animation, Drama",tt4346362,7.1,311,"AD, AL, AT, AZ, BA, BG, BY, CH, DE, EE, ES, FR, GF, GR, HU, IT, LI, LT, LU, LV, MC, ME, MK, MU, PF, PL, PT, RS, SI, SK",s2071,,"Monique Hore, Sophia Morrison, Peter McAllum, Nicole Shostak, Jamie Croft, Beth Armstrong, Kate Fitzpatrick, Penny Cook, Charlotte Hamlyn, Tess Meyer","France, Australia, Germany","September 1, 2020",2020,TV-Y7,1 Season,Kids' TV,A plucky young orphan sent to live with her grandfather in the mountains discovers wonder and adventure around every corner.
Inspector Gadget,tv,"Action, Adventure, Animation",tt3910690,4.6,776,"AD, AE, AG, AL, AR, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CL, CO, CR, CU, DK, DO, DZ, EC, EE, EG, ES, FI, GB, GF, GG, GI, GT, HK, HN, IE, IN, IQ, IS, IT, JM, JO, KR, KW, LB, LC, LT, LU, LV, LY, MA, MC, ME, MK, MT, MX, NI, NL, NO, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RS, SA, SE, SG, SI, SK, SM, SV, TC, TN, TT, TW, US, UY, VE, YE",s4858,,"Ivan Sherry, Tara Strong, Martin Roach, Scott McCord, Lyon Smith, Derek McGrath","Canada, United States, France","May 18, 2018",2017,TV-Y7,4 Seasons,"Crime TV Shows, Kids' TV, TV Comedies","Inspector Gadget is back and must face his old enemy, the evil Dr. Claw, who has reactivated MAD, his global crime syndicate."
Richie Rich,tv,Comedy,tt4160920,3.2,1417,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",s531,,"Jake Brennan, Joshua Carlon, Lauren Taylor, Jenna Ortega, Kiff VandenHeuvel, Brooke Wexler",United States,"July 6, 2021",2015,TV-G,2 Seasons,"Kids' TV, TV Comedies","After turning his veggies into green energy, Richie Rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure."
DC's Legends of Tomorrow,tv,"Action, Adventure, Drama",tt4532368,6.7,111135,"AD, AL, AO, AR, AZ, BA, BB, BE, BG, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, DK, DO, EC, EE, FJ, FR, GF, GH, GQ, GR, GT, HK, HN, HR, IL, IS, IT, JM, KE, KR, LC, LT, LU, LV, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, PA, PE, PF, PH, PK, PL, PT, PY, RO, RS, SC, SE, SG, SI, SK, SM, SN, SV, TH, TT, TW, TZ, UG, US, UY, VE, ZA, ZM, ZW",s2406,Rob Seidenglanz,"Victor Garber, Brandon Routh, Caity Lotz, Franz Drameh, Amy Pemberton, Dominic Purcell, Maisie Richardson-Sellers, Nick Zano, Arthur Darvill, Wentworth Miller, Tala Ashe, Adam Tsekhman, Christina Brucato, Simon Merrells, Nils Hognestad, Jes Macallan, Keiynan Lonsdale",United States,"June 10, 2020",2020,TV-14,5 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy","A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil."
Lovesick,tv,Comedy,tt4051832,8.0,23136,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, DE, DK, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",s5098,,"Johnny Flynn, Antonia Thomas, Daniel Ings, Hannah Britland, Joshua McGuire, Richard Thomson, Jessica Ellerby",United Kingdom,"January 1, 2018",2018,TV-MA,3 Seasons,"British TV Shows, International TV Shows, Romantic TV Shows","In his quest for true love, Dylan found chlamydia. Joined by friends Evie and Luke, he relives past encounters as he notifies all his former partners."
Bella and the Bulldogs,tv,"Comedy, Drama, Family",tt3596178,5.3,2642,US,s3317,,"Brec Bassinger, Coy Stewart, Jackie Radinsky, Buddy Handleson, Lilimar, Haley Tju, Dorien Wilson, Rio Mangini, Annie Tedesco",United States,"November 2, 2019",2015,TV-G,1 Season,"Kids' TV, TV Comedies","The life of cheerleader Bella Dawson turns upside down when, in a twist of fate, she becomes quarterback for her middle school's football team."
Some Assembly Required,tv,"Comedy, Family",tt3441810,4.6,1199,"AU, DK, ES, FI, FJ, IS, NO, NZ, PT, SE, US",s536,,"Kolton Stewart, Harrison Houde, Charlie Storwick, Sydney Scotia, Travis Turner, Ellie Harvie, Dylan Playfair",Canada,"July 6, 2021",2015,TV-Y,2 Seasons,"Kids' TV, TV Comedies",A 14-year-old takes ownership of a toy company and hires a group of his friends to help him create amazing new toys.
Bunk'd,tv,"Comedy, Drama, Family",tt4591680,5.4,4350,US,s107,,"Peyton List, Karan Brar, Skai Jackson, Miranda May, Kevin G. Quinn, Nathan Arenas, Nina Lu",United States,"September 5, 2021",2021,TV-G,5 Seasons,"Kids' TV, TV Comedies","The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
Forged in Fire,tv,"Game-Show, Reality-TV",tt4680444,8.2,4620,US,s1755,,Wil Willis,United States,"November 1, 2020",2019,TV-14,1 Season,Reality TV,Bladesmiths vie for a cash prize by forging the best metal weapons from the pages of history in this competition series featuring expert judges.
Transformers: Robots in Disguise,tv,"Action, Adventure, Animation",tt3604232,5.9,1406,US,s4653,,"Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen",United States,"September 8, 2018",2016,TV-Y7,1 Season,Kids' TV,"When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind."
Lucifer,tv,"Crime, Drama, Fantasy",tt4052886,8.0,365621,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",s83,,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",United States,"September 10, 2021",2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
Glitch,tv,"Drama, Horror, Sci-Fi",tt4192782,7.2,21687,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",s3492,,"Patrick Brammall, Genevieve O'Reilly, Emma Booth, Emily Barclay, Ned Dennehy, Sean Keenan, Hannah Monson, Aaron L. McGrath, John Leary, Rodger Corser, Andrew McFarlane, Luke Arnold, Rob Collins, Pernilla August",Australia,"September 25, 2019",2019,TV-MA,3 Seasons,"International TV Shows, TV Dramas, TV Horror",A police officer and a doctor face an emotionally charged mystery when seven local residents inexplicably return from the dead in peak physical form.
The Last Kingdom,tv,"Action, Drama, History",tt4179452,8.5,172126,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",s2629,,"Alexander Dreymon, Emily Cox, David Dawson, Ian Hart, Rune Temte, Matthew Macfadyen, Rutger Hauer, Tobias Santelmann, Peter Gantzler, Adrian Bower, Joseph Millson, Henning Valin Jakobsen, Alexandre Willaume, Thomas W. Gabrielsson",United Kingdom,"April 26, 2020",2020,TV-MA,4 Seasons,"British TV Shows, International TV Shows, TV Action & Adventure","As Alfred the Great defends his kingdom from Norse invaders, Uhtred – born a Saxon but raised by Vikings – seeks to claim his ancestral birthright."
Dinotrux,tv,"Action, Adventure, Animation",tt1396212,6.7,577,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GT, HK, HN, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",s5321,,"Andrew Francis, Richard Ian Cox, Ashleigh Ball, Matt Hill, Brian Drummond, Paul Dobson",United States,"August 18, 2017",2017,TV-Y7,5 Seasons,Kids' TV,"Half dinosaur, half construction truck, full-on fun! Watch giant Ty Rux, his little buddy Revvit and the crew come face-to-face with evil D-Structs."
